family,recordId,field,hasValue,stageReady
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,agency,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,provenanceUrl,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,sourceRole,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,sourceUrl,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,finalUrl,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,artifactPath,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,sha256,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,fetchedAt,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,supportingText,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,supportingPageLocation,1,1
